Category,Name,Location ,Justification,MLA Decision,Email Address,Best Contact,Notes
ACCELERATORS & INCUBATORS,SparkLabs Cultiv8,Australia,Leading agri-food tech accelerator partnering with MLA. Relevant to all challenges.,Yes,jonathon@sparklabscultiv8.com,Jonathon Quigley - Co-Founder & Partner (jonathon@sparklabscultiv8.com) OR Contact Form: https://www.sparklabscultiv8.com/contact-us,
ACCELERATORS & INCUBATORS,Rocket Seeder,Australia,Supports food/ag startups focused on sustainability. Portfolio includes sustainable packaging companies.,,,emma@rocketseeder.com,Emma Coath - Managing Director (LinkedIn: linkedin.com/in/emmacoath/) Email format: firstname@rocketseeder.com,
ACCELERATORS & INCUBATORS,Startupbootcamp FoodTech Tasmania,Australia,MLA partner. Seeking shelf-life technologies sustainable packaging food waste solutions.,,,info@startupbootcamp.org,Anna Barlow - Food Innovation Partner (Contact: https://www.startupbootcamp.org/accelerator/foodtech-tasmania),
ACCELERATORS & INCUBATORS,SproutX,Australia,Australia's leading agtech/foodtech hub. Portfolio includes plant protein and sustainable packaging.,,,info@sproutx.com.au,General Inquiries (info@sproutx.com.au),
ACCELERATORS & INCUBATORS,THRIVE APAC Accelerator,Australia,12-week program for Seed to Series A agrifood tech. Focus on sustainability and supply chain innovation.,,,info@svgpartners.com,General Inquiries (info@svgpartners.com),
ACCELERATORS & INCUBATORS,EnergyLab - Climate Solutions Accelerator,Australia,Australia's largest climate tech accelerator. Focus on sustainable materials alternative proteins packaging.,,,programs@energylab.org.au,Megan Fisher - CEO & Director (programs@energylab.org.au),
ACCELERATORS & INCUBATORS,Jumar Bioincubator,Australia,First biotech incubator co-located with CSL. Supports nutraceuticals functional foods biotech applications in food.,,,info@jumarbio.com,Contact Form: https://www.jumarbio.com/connect,
ACCELERATORS & INCUBATORS,CUREator (Brandon BioCatalyst),Australia,Australia's national biotech incubator. $40M MRFF funding for pre-clinical innovations.,,,info@cureator.com.au,General Inquiries (info@cureator.com.au),
ACCELERATORS & INCUBATORS,LaunchVic,Australia,Victoria's lead startup agency. Hugh Victor McKay Fund provides up to $200k co-investment for AgTech.,,,hello@launchvic.org, grants@launchvic.org,Kate Cornick - CEO (LinkedIn: linkedin.com/in/kate-cornick-62aab92b) Contact: hello@launchvic.org OR grants@launchvic.org,
ACCELERATORS & INCUBATORS,AgTech and Logistics Hub,Australia,Premier agribusiness innovation hub. 6500+ contacts 1000+ SMEs. Focus on supply chain optimization.,,,Owen.Williams@agtechlogisticshub.com.au,Owen Williams - Hub Manager (Owen.Williams@agtechlogisticshub.com.au),
ACCELERATORS & INCUBATORS,Farmers2Founders,Australia,LaunchVic funded. GROW 12-week pre-accelerator for Victorian AgTech.,,,Admin@farmers2founders.com,Dr Christine Pitt - Founder & Managing Director (LinkedIn: searchable) Contact: Admin@farmers2founders.com,
ACCELERATORS & INCUBATORS,HARVEST AgTech Accelerator (AgriStart),Australia,WA's AgTech accelerator for scaling startups. Farmer partnerships for trials. Now part of Innovation Cluster.,,,info@agristart.com.au,General Inquiries (info@agristart.com.au) - Note: Redirects to Innovation Cluster website,
ACCELERATORS & INCUBATORS,Proto Axiom,Australia,Patient capital with hands-on incubation. Early-stage biotech with applications in functional foods.,,,info@protoaxiom.com,General Inquiries (info@protoaxiom.com),
ACCELERATORS & INCUBATORS,NSW Government - Tech Central / MVP Ventures,Australia,NSW innovation hub supporting food tech clean tech. MVP Ventures provides funding.,,,contact@investment.nsw.gov.au,Investment NSW Contact: Phone 02 9000 1365 OR Contact Form: www.investment.nsw.gov.au/contact-us/,
ACCELERATORS & INCUBATORS,Breakthrough Victoria,Australia,Victorian Government innovation fund. Key investor in Jumar Bioincubator ($25M).,,,contact@breakthroughvictoria.com,General Inquiries (contact@breakthroughvictoria.com),
ACCELERATORS & INCUBATORS,Cicada Innovations,Australia,23-year track record supporting deep tech. Operates Jumar Bioincubator. Portfolio raised $1.8B+.,,,info@cicadainnovations.com,General Inquiries (info@cicadainnovations.com),
ACCELERATORS & INCUBATORS,Stone & Chalk - AgTech Program,Australia,Leading innovation hub with dedicated agtech program. Locations in Sydney Melbourne Adelaide.,,,jacqui@stoneandchalk.com.au, bc@stoneandchalk.com.au, graham.mccorkill@stoneandchalk.com.au,Jacqui Duncan - GM NSW (jacqui@stoneandchalk.com.au) OR Ben Colley - GM SA (bc@stoneandchalk.com.au) OR Graham McCorkill - Startup Success Manager VIC (graham.mccorkill@stoneandchalk.com.au),
ACCELERATORS & INCUBATORS,The Waite Campus (University of Adelaide),Australia,Largest agrifood hub in Southern Hemisphere. ThincLab startup community.,,,zrinka.tokic@adelaide.edu.au, thinclab@adelaide.edu.au,Zrinka Tokic - ThincLab Director (zrinka.tokic@adelaide.edu.au) OR General: thinclab@adelaide.edu.au,
ACCELERATORS & INCUBATORS,National Reconstruction Fund Corporation (NRFC),Australia,Federal fund providing debt equity guarantees to agriculture food processing advanced manufacturing.,,,foi@nrf.gov.au, NRF.Policy@industry.gov.au,Contact Form: www.nrf.gov.au/contact-us OR FOI: foi@nrf.gov.au OR Policy: NRF.Policy@industry.gov.au,
ACCELERATORS & INCUBATORS,AgriFutures GrowAg,Australia,Government-backed platform connecting agtech innovators researchers investors. 80000+ users.,,,connect@growag.com,David Lord or Rebecca Bradford (connect@growag.com) Phone: +61 2 6923 6936 / 6957,
ACCELERATORS & INCUBATORS,Food Innovation Precinct Western Australia (FIPWA),Australia,State-of-the-art food manufacturing and R&D facility. Focus on extended shelf life technologies.,,,info@fipwa.com.au,General Inquiries (info@fipwa.com.au),
UNIVERSITIES,Victoria University - Sustainable Packaging Research Group,Australia,Leading research in bio-packaging materials from agricultural wastes. Directly addresses Challenge A.,,,vincent.rouillard@vu.edu.au, marlene.cran@vu.edu.au, isilc@vu.edu.au,Professor Vincent Rouillard - Leader (vincent.rouillard@vu.edu.au) OR Dr Marlene Cran - Deputy Leader (marlene.cran@vu.edu.au) OR General: isilc@vu.edu.au,
UNIVERSITIES,RMIT University - Food Research and Innovation Centre,Australia,Multimillion-dollar facility for food processing product development nutrition packaging design.,,,harsharn.gill@rmit.edu.au,Professor Harsharn Gill - Food and Health Biosciences (harsharn.gill@rmit.edu.au) Phone: +61 3 9925 2600,
UNIVERSITIES,Monash University - Food Innovation Centre,Australia,World-class R&D for food science dairy processing biotechnology. Partnership with FIAL.,,,contact@foodinnovationcentre.com.au,General Inquiries (contact@foodinnovationcentre.com.au) Phone: +61 477 371 949,
UNIVERSITIES,Monash University - Commercialisation Office,Australia,Manages IP protection licensing commercialization of food science materials science biotechnology research.,,,Innovation@monash.edu,Monash Innovation (Innovation@monash.edu),
UNIVERSITIES,University of Melbourne - Food & Packaging Innovation Program,Australia,World's only dedicated Food & Packaging Innovation Master's program. Direct relevance to Challenge A and C.,,,samantha.fossey@unimelb.edu.au,Samantha Fossey (samantha.fossey@unimelb.edu.au) Phone: +61 3 9035 5511,
UNIVERSITIES,University of Melbourne - Commercialisation Office,Australia,Manages IP and commercialization for food science and materials innovations.,,,k.jefferd@unimelb.edu.au,Ken Jefferd - Executive Director Research Innovation & Commercialisation (k.jefferd@unimelb.edu.au) OR Contact: https://research.unimelb.edu.au/commercialisation/contact,
