query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""search_term"" FROM json_to_record(pgrst_payload.json_data) AS _(""search_term"" text) LIMIT $4) pgrst_body , LATERAL ""public"".""search_keywords_for_autocomplete""(""search_term"" := pgrst_body.""search_term"") pgrst_call) SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""record"".* FROM ""pgrst_source"" AS ""record""     LIMIT $2 OFFSET $3) _postgrest_t",authenticated,13570,67.5949831764186,18.167797,344.302168,917263.921704004,13570,100.0000000000000000,27.04323060750433,null
"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""search_term"" FROM json_to_record(pgrst_payload.json_data) AS _(""search_term"" text) LIMIT $4) pgrst_body , LATERAL ""public"".""check_keyword_match_fuzzy""(""search_term"" := pgrst_body.""search_term"") pgrst_call) SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""record"".* FROM ""pgrst_source"" AS ""record""     LIMIT $2 OFFSET $3) _postgrest_t",authenticated,14255,36.3813060094002,5.86957,424.803276,518615.517164,14255,99.9999021228094473,15.290080308884072,null
"with f as (
      
-- CTE with sane arg_modes, arg_names, and arg_types.
-- All three are always of the same length.
-- All three include all args, including OUT and TABLE args.
with functions as (
  select
    *,
    -- proargmodes is null when all arg modes are IN
    coalesce(
      p.proargmodes,
      array_fill($1::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_modes,
    -- proargnames is null when all args are unnamed
    coalesce(
      p.proargnames,
      array_fill($2::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_names,
    -- proallargtypes is null when all arg modes are IN
    coalesce(p.proallargtypes, p.proargtypes) as arg_types,
    array_cat(
      array_fill($3, array[pronargs - pronargdefaults]),
      array_fill($4, array[pronargdefaults])) as arg_has_defaults
  from
    pg_proc as p
  where
    p.prokind = $5
)
select
  f.oid as id,
  n.nspname as schema,
  f.proname as name,
  l.lanname as language,
  case
    when l.lanname = $6 then $7
    else f.prosrc
  end as definition,
  case
    when l.lanname = $8 then f.prosrc
    else pg_get_functiondef(f.oid)
  end as complete_statement,
  coalesce(f_args.args, $9) as args,
  pg_get_function_arguments(f.oid) as argument_types,
  pg_get_function_identity_arguments(f.oid) as identity_argument_types,
  f.prorettype as return_type_id,
  pg_get_function_result(f.oid) as return_type,
  nullif(rt.typrelid, $10) as return_type_relation_id,
  f.proretset as is_set_returning_function,
  case
    when f.provolatile = $11 then $12
    when f.provolatile = $13 then $14
    when f.provolatile = $15 then $16
  end as behavior,
  f.prosecdef as security_definer,
  f_config.config_params as config_params
from
  functions f
  left join pg_namespace n on f.pronamespace = n.oid
  left join pg_language l on f.prolang = l.oid
  left join pg_type rt on rt.oid = f.prorettype
  left join (
    select
      oid,
      jsonb_object_agg(param, value) filter (where param is not null) as config_params
    from
      (
        select
          oid,
          (string_to_array(unnest(proconfig), $17))[$18] as param,
          (string_to_array(unnest(proconfig), $19))[$20] as value
        from
          functions
      ) as t
    group by
      oid
  ) f_config on f_config.oid = f.oid
  left join (
    select
      oid,
      jsonb_agg(jsonb_build_object(
        $21, t2.mode,
        $22, name,
        $23, type_id,
        -- Cast null into false boolean
        $24, COALESCE(has_default, $25)
      )) as args
    from
      (
        select
          oid,
          unnest(arg_modes) as mode,
          unnest(arg_names) as name,
          -- Coming from: coalesce(p.proallargtypes, p.proargtypes) postgres won't automatically assume
          -- integer, we need to cast it to be properly parsed
          unnest(arg_types)::int8 as type_id,
          unnest(arg_has_defaults) as has_default
        from
          functions
      ) as t1,
      lateral (
        select
          case
            when t1.mode = $26 then $27
            when t1.mode = $28 then $29
            when t1.mode = $30 then $31
            when t1.mode = $32 then $33
            else $34
          end as mode
      ) as t2
    group by
      t1.oid
  ) f_args on f_args.oid = f.oid

    )
    select
      f.*
    from f
   where schema NOT IN ($35,$36,$37)

-- source: dashboard
-- user: d15152fa-178f-4302-bc9a-806a53ffcffd
-- date: 2025-05-21T03:10:41.809Z",postgres,1179,379.663443063613,123.991025,8073.292212,447623.199372,148736,100.0000000000000000,13.197049528992766,null
"WITH pgrst_source AS ( SELECT ""public"".""solutions"".""id"", ""public"".""solutions"".""title"", ""public"".""solutions"".""solution_category"" FROM ""public"".""solutions""  WHERE  ""public"".""solutions"".""title"" ilike $1 AND  ""public"".""solutions"".""is_approved"" = $2   LIMIT $3 OFFSET $4 )  SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,20615,19.7052319002667,0.306066,313.715257,406223.355624,20615,100.0000000000000000,11.976478769475753,null
"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""search_term"" FROM json_to_record(pgrst_payload.json_data) AS _(""search_term"" text) LIMIT $4) pgrst_body , LATERAL ""public"".""search_keywords_as_solutions""(""search_term"" := pgrst_body.""search_term"") pgrst_call) SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""record"".* FROM ""pgrst_source"" AS ""record""     LIMIT $2 OFFSET $3) _postgrest_t",authenticated,2834,120.480477475653,82.974272,454.453739,341441.673166,2834,100.0000000000000000,10.066553025749464,null
"WITH pgrst_source AS (UPDATE ""public"".""goal_implementation_links"" SET ""aggregated_fields"" = ""pgrst_body"".""aggregated_fields"", ""data_display_mode"" = ""pgrst_body"".""data_display_mode"", ""needs_aggregation"" = ""pgrst_body"".""needs_aggregation"", ""solution_fields"" = ""pgrst_body"".""solution_fields"", ""updated_at"" = ""pgrst_body"".""updated_at"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""aggregated_fields"", ""data_display_mode"", ""needs_aggregation"", ""solution_fields"", ""updated_at"" FROM json_to_record(pgrst_payload.json_data) AS _(""aggregated_fields"" jsonb, ""data_display_mode"" text, ""needs_aggregation"" boolean, ""solution_fields"" jsonb, ""updated_at"" timestamp with time zone) ) pgrst_body  WHERE  ""public"".""goal_implementation_links"".""id"" = $2 RETURNING $3) SELECT $4 AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, array[]::text[] AS header, $5::text AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM (SELECT * FROM pgrst_source) _postgrest_t",service_role,15975,7.48337706078247,0.330328,194.208654,119546.948546,15975,99.9997008233341843,3.5245425241920536,null
"WITH pgrst_source AS ( SELECT ""public"".""goal_implementation_links"".""goal_id"" FROM ""public"".""goal_implementation_links""     LIMIT $1 OFFSET $2 )  SELECT $3::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $4) AS body, nullif(current_setting($5, $6), $7) AS response_headers, nullif(current_setting($8, $9), $10) AS response_status, $11 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",service_role,70988,1.40629794386375,0.6666,127.170116,99830.2784390011,70988,100.0000000000000000,2.9432458614767834,null
"WITH pgrst_source AS ( SELECT ""public"".""goal_implementation_links"".""id"", ""public"".""goal_implementation_links"".""goal_id"", ""public"".""goal_implementation_links"".""implementation_id"", ""public"".""goal_implementation_links"".""aggregated_fields"", ""public"".""goal_implementation_links"".""solution_fields"", row_to_json(""goal_implementation_links_solution_variants_1"".*)::jsonb AS ""solution_variants"" FROM ""public"".""goal_implementation_links"" INNER JOIN LATERAL ( SELECT row_to_json(""solution_variants_solutions_2"".*)::jsonb AS ""solutions"" FROM ""public"".""solution_variants"" AS ""solution_variants_1"" INNER JOIN LATERAL ( SELECT ""solutions_2"".""title"", ""solutions_2"".""solution_category"" FROM ""public"".""solutions"" AS ""solutions_2""  WHERE ""solutions_2"".""id"" = ""solution_variants_1"".""solution_id""   LIMIT $1 OFFSET $2 ) AS ""solution_variants_solutions_2"" ON $8 WHERE ""solution_variants_1"".""id"" = ""public"".""goal_implementation_links"".""implementation_id""   LIMIT $3 OFFSET $4 ) AS ""goal_implementation_links_solution_variants_1"" ON $9 WHERE  ""public"".""goal_implementation_links"".""goal_id"" = $5   LIMIT $6 OFFSET $7 )  SELECT $10::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $11) AS body, nullif(current_setting($12, $13), $14) AS response_headers, nullif(current_setting($15, $16), $17) AS response_status, $18 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",service_role,1970,32.7333880614213,0.119155,700.461305,64484.774481,1970,100.0000000000000000,1.9011721552538428,null
"WITH pgrst_source AS (SELECT ""pgrst_call"".* FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""timeframe_days"", ""limit_count"" FROM json_to_record(pgrst_payload.json_data) AS _(""timeframe_days"" integer, ""limit_count"" integer) LIMIT $4) pgrst_body , LATERAL ""public"".""get_trending_goals""(""timeframe_days"" := pgrst_body.""timeframe_days"", ""limit_count"" := pgrst_body.""limit_count"") pgrst_call) SELECT $5::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT ""record"".* FROM ""pgrst_source"" AS ""record""     LIMIT $2 OFFSET $3) _postgrest_t",authenticated,107,594.061884953271,9.08125,3414.12577,63564.62169,107,100.0000000000000000,1.8740437535666545,null
SELECT name FROM pg_timezone_names,authenticator,296,194.799534209459,56.275025,561.423732,57660.6621259999,353424,0,1.6999802847996386,null
