Category,Name,Location,Justification,MLA Decision,Best Contact,Notes
ACCELERATORS & INCUBATORS,Plug and Play Food & Beverage,USA (Silicon Valley),"Stage-agnostic 12-week food innovation platform connecting startups with 500+ corporate partners. Focus areas include personalized nutrition, functional foods, protein alternatives, packaging innovation, and waste reduction. Directly relevant to all three challenges.",,General Inquiries (investment@plugandplaytechcenter.com) Phone: (408) 524-1400,Global presence with 50+ locations. Corporate partners include Tetra Pak and DuPont Nutrition & Biosciences.
ACCELERATORS & INCUBATORS,IndieBio (SOSV),USA (San Francisco & New York),"World's #1 early-stage biotech accelerator supporting food biotechnology, agriculture innovation, and alternative proteins. Portfolio includes cultivated protein, functional foods, and novel processing technologies. Relevant to Challenges B and C.",,Contact Form: https://indiebio.co/contact/,"Part of SOSV ecosystem. Notable portfolio: NotCo, Upside Foods, Perfect Day. Principal & Program Director: Westley Dang (LinkedIn searchable)"
ACCELERATORS & INCUBATORS,Techstars Farm to Fork,USA (Twin Cities),"Partnership with Ecolab accelerating digital innovation across food and ag supply chain. Focus on sustainability, food safety, and supply chain optimization. Relevant to shelf-life technologies and packaging (Challenge A and B).",,Brett Brohl - Managing Director (LinkedIn: linkedin.com/in/brettbrohl),12-week program selecting 10-12 startups annually. Also founder of The Syndicate Fund.
ACCELERATORS & INCUBATORS,Big Idea Ventures,USA/Singapore/Paris,"Leading alternative protein investor. New Protein Fund invests $200K ($125K cash + $75K in-kind) in alternative protein and ingredients companies. Focus on functional foods, novel proteins, and food innovation. Directly relevant to Challenge C.",,Andrew D. Ive - Founder & Managing General Partner (LinkedIn searchable) OR Media: shruti.salkar@bigideadventures.com,Twice-yearly cohorts. Backed by Bühler & Tyson. Three global locations.
ACCELERATORS & INCUBATORS,Yield Lab Institute,USA (St. Louis),"Non-profit dedicated to agrifood systems innovation. Launched H.A.R.V.E.S.T. AgTech platform in 2025 with 12 U.S. regional ecosystems + international reach (Argentina, Brazil, Israel, UK). Focus on food preservation, supply chain, packaging.",,Stephanie Regagnon - Executive Director (LinkedIn: linkedin.com/in/stephregagnon) OR kyle@theyieldlab.com,"Contact: 1100 Corporate Square Drive, Suite 212, St. Louis, MO 63132. www.harvestagtech.org"
ACCELERATORS & INCUBATORS,Radicle Growth,USA (San Diego) with Canada partnerships,"AgTech/FoodTech venture capital and accelerator. Nutrien-Radicle Challenge Canada supports Canadian innovation. Focus on supply chain optimization, food waste reduction, and sustainable agriculture technologies.",,Kirk Haney - Managing Partner (khaney@radicle.vc) OR Danielle Dougan (ddougan@radicle.vc) Phone: 978-430-9680,"Partnerships with AVAC and Verdex Capital in Canada. $1.25M investment program for growth and seed-stage companies."
ACCELERATORS & INCUBATORS,Creative Destruction Lab (CDL) - AgriFood,Canada (Toronto/Calgary/Vancouver),"Canada's premier seed-stage accelerator with dedicated AgriFood stream. Connects startups with mentors, investors, and corporate partners across the ag value chain. Focus on scalable solutions from farm to consumer.",,Dora Tamas - AgriFood Stream Manager (dora.tamas@creativedestructionlab.com) OR CDL-Rockies: heather.marshall@creativedestructionlab.com,"Multiple Canadian locations. 9-month program. Relevant to packaging innovation and food preservation technologies."
ACCELERATORS & INCUBATORS,MaRS Discovery District - Food & AgTech Mission,Canada (Toronto),"Major Toronto innovation hub with new FoodTech venture accelerator (2025). Supports 10 Canadian startups in supply chain innovation, emissions reduction, waste reduction, and efficiency. FCC partnership brings industry leaders together.",,Tyler Hamilton - Senior Director Climate (LinkedIn searchable) OR MaRS Partnerships team through www.marsdd.com/accelerators/,"Address: 101 College Street, Suite 100, Toronto, ON M5G 1L7. Coalition includes Wittington Ventures, S2G Investments, TELUS Agriculture."
ACCELERATORS & INCUBATORS,SKU Accelerator,USA (Austin),"Leading 12-week CPG accelerator for market-validated brands across food, beverage, pet care, and health & wellness. Focus on scaling innovative products with mentorship and retailer connections. Relevant to Challenge C (wellness products).",,Buff Greebe - Executive Director ([email protected]) OR www.sku.is,Headquartered in Austin. Focus on women and BIPOC-owned businesses. Strong retail network for go-to-market strategy.
ACCELERATORS & INCUBATORS,Alchemist Accelerator,USA (San Francisco/Memphis),"Enterprise-focused accelerator with food tech and healthcare verticals. Memphis East Coast hub adjacent to logistics, supply chain, and healthcare leaders. Supports food preservation technology and B2B food innovation.",,Rachel Chalmers - President & Managing Director (LinkedIn searchable) Phone: (415) 527-0158,www.alchemistaccelerator.com. 6-month program. Enterprise monetization focus relevant to B2B food technology.
INDUSTRY ASSOCIATIONS,Good Food Institute,USA (Washington DC),"Leading non-profit accelerating alternative protein innovation. Strategic support for startups, established companies, and meat producers. Focus on cultivated meat, plant-based proteins, and fermentation. Directly relevant to Challenge C.",,Contact Form: gfi.org/contact OR Philanthropy team: philanthropy@gfi.org Phone: 202-596-2262,"Global presence with offices in USA, India, Europe, Brazil, and Asia-Pacific. Email format: [first].[last]@gfi.org"
COMPANIES,Anterra Capital,Netherlands (Amsterdam) & USA (Boston),"AgTech investment firm with $260M Fund II investing in biotech and digital solutions across agrifoodtech value chain. Focus on ag fintech, crop science, animal health, sustainable packaging, and functional foods.",,Adam Anders - Managing Partner (LinkedIn searchable) OR Team page: anterracapital.com/team/,18-person team including 4 partners. Invests in innovations addressing agricultural productivity and sustainability.
COMPANIES,Forward Fooding,UK (London) with offices in Barcelona & Rome,"World's first collaborative platform for F&B industry fostering innovation via FoodTech Data Intelligence. Publishes FoodTech 500 ranking. Bespoke scouting services connect corporations with relevant startups for partnerships and acquisitions.",,Alessio D'Antino - Founder (LinkedIn searchable) OR General: info@forwardfooding.com,"Offices: London (36-40 York Way, N1 9AB), Barcelona (Passeig del Mare Nostrum, 15), Rome (Via Marsala, 29H). Max Leveau - COO"
